,REC$TYPE,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field type,CROP,Ownership type,Is field under Extension Program?,Is Field Irrigated?,How many times is the field ploughed,Orientation of the field,Is Field Prevented form Erosion,"If field Prevented form Erosion, common way of prevention",Do youprevent land Degradation,Method to prevent land degredation,How were seeds planted/ sowed?,Seed / Seedling Type,Was crop damaged ?,Prevention/precaution measure taken?,Type of measure if any?,Is Fertilizer Used?,Type of fertilizer used if any?,Type of chemical fertilizer,How often is temporary crop field used in Meher (main) season,What was the previous state of the field ?,Percent share of mixed crops,Respondent local area code,Holder Condition,Household Id,Sampling weight,Quantity of indigenous seeds used,Quantity of UREA fertilizer used,Quantity of DAP fertilizer used,"Quantity of NPS fertilizer used,",Quantity of BLENDED fertilizer used,Area in Square meter,Respondent local area,Production Of Condition in Kg,Fertilizer Quantity
12341,50.0,1.0,7.0,4.0,17.0,3.0,1.0,1.0,3.0,1.0,2.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,60.0,2.0,0.0,84.0,181.03,3700.0,0.0,0.0,0.0,0.0,3095.79,1.5,31.069,0.0
12344,50.0,1.0,7.0,4.0,17.0,3.0,1.0,1.0,1.0,4.0,2.0,8.0,1.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,65.0,2.0,0.0,90.0,181.03,3700.0,10.0,15.0,0.0,0.0,622.73,0.5,6.25,25.0
12346,50.0,1.0,7.0,4.0,17.0,3.0,1.0,1.0,1.0,6.0,2.0,8.0,1.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,65.0,2.0,0.0,90.0,181.03,4440.0,25.0,10.0,0.0,0.0,1718.67,1.0,17.249,35.0
12347,50.0,1.0,7.0,4.0,17.0,3.0,1.0,1.0,2.0,1.0,2.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,60.0,4.0,0.0,90.0,181.03,2220.0,10.0,5.0,0.0,0.0,94.8,1.0,0.951,15.0
12349,50.0,1.0,7.0,4.0,17.0,3.0,1.0,1.0,3.0,2.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,100.0,2.0,0.0,90.0,181.03,5550.0,15.0,5.0,0.0,0.0,2050.6,1.0,20.58,20.0
12355,50.0,1.0,7.0,4.0,17.0,3.0,1.0,1.0,2.0,2.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,100.0,2.0,0.0,97.0,181.03,5550.0,25.0,40.0,0.0,0.0,2369.25,1.0,23.778,65.0
12356,50.0,1.0,7.0,4.0,17.0,3.0,1.0,1.0,2.0,3.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,100.0,2.0,0.0,97.0,181.03,5550.0,25.0,35.0,0.0,0.0,2336.25,0.5,23.447,60.0
12362,50.0,1.0,7.0,4.0,17.0,3.0,1.0,1.0,2.0,2.0,1.0,8.0,3.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,2.0,0.0,112.0,181.03,1170.0,0.0,0.0,0.0,0.0,498.0,0.5,4.998,0.0
12364,50.0,1.0,7.0,4.0,17.0,3.0,1.0,1.0,2.0,3.0,2.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,60.0,2.0,0.0,112.0,181.03,2590.0,0.0,0.0,0.0,0.0,535.5,1.0,5.374,0.0
12366,50.0,1.0,7.0,4.0,17.0,3.0,1.0,1.0,1.0,3.0,2.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,60.0,2.0,0.0,118.0,181.03,2220.0,25.0,10.0,0.0,0.0,948.48,0.5,9.519,35.0
12369,50.0,1.0,7.0,4.0,17.0,3.0,1.0,1.0,1.0,5.0,2.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,60.0,4.0,0.0,118.0,181.03,1110.0,15.0,5.0,0.0,0.0,120.87,1.0,1.213,20.0
12372,50.0,1.0,7.0,4.0,17.0,3.0,1.0,1.0,2.0,2.0,2.0,8.0,3.0,2.0,2.0,4.0,2.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,60.0,2.0,0.0,118.0,181.03,1110.0,20.0,10.0,0.0,0.0,1546.95,0.75,15.525,30.0
12374,50.0,1.0,7.0,4.0,17.0,3.0,1.0,1.0,2.0,3.0,2.0,8.0,3.0,2.0,2.0,4.0,2.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,60.0,2.0,0.0,118.0,181.03,1755.0,15.0,15.0,0.0,0.0,988.35,0.5,9.919,30.0
12378,50.0,1.0,7.0,4.0,17.0,3.0,2.0,1.0,1.0,5.0,2.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,60.0,2.0,0.0,124.0,181.03,1110.0,0.0,0.0,0.0,0.0,382.32,0.25,3.837,0.0
12381,50.0,1.0,7.0,4.0,17.0,3.0,2.0,1.0,1.0,7.0,2.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,2.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,60.0,2.0,0.0,124.0,181.03,2590.0,0.0,0.0,0.0,0.0,432.3,0.5,4.339,0.0
12383,50.0,1.0,7.0,4.0,17.0,3.0,2.0,1.0,2.0,1.0,2.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,2.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,60.0,2.0,0.0,124.0,181.03,2590.0,0.0,0.0,0.0,0.0,1746.21,1.0,17.525,0.0
12385,50.0,1.0,7.0,4.0,17.0,3.0,1.0,1.0,2.0,1.0,1.0,8.0,1.0,1.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,100.0,2.0,0.0,130.0,181.03,7400.0,25.0,25.0,0.0,0.0,581.15,0.5,5.832,50.0
12386,50.0,1.0,7.0,4.0,17.0,3.0,1.0,1.0,2.0,2.0,1.0,8.0,1.0,1.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,100.0,2.0,0.0,130.0,181.03,3700.0,15.0,15.0,0.0,0.0,1127.25,0.5,11.313,30.0
12633,50.0,3.0,1.0,1.0,13.0,7.0,1.0,1.0,1.0,7.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,8.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,2.0,0.0,131.0,271.41,10.0,0.0,0.0,0.0,0.0,396.71,0.5,94.466,0.0
12703,50.0,3.0,1.0,2.0,4.0,7.0,1.0,1.0,1.0,2.0,1.0,8.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,7.0,1.0,2.0,100.0,2.0,0.0,5.0,236.88,25.0,15.0,0.0,0.0,10.0,229.56,2.4,71.143,25.0
12705,50.0,3.0,1.0,2.0,4.0,7.0,2.0,1.0,1.0,2.0,1.0,8.0,1.0,1.0,2.0,4.0,1.0,1.0,4.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,7.0,1.0,2.0,100.0,16.0,0.0,17.0,236.88,25.0,10.0,0.0,0.0,20.0,816.88,3.0,253.159,30.0
12708,50.0,3.0,1.0,2.0,4.0,7.0,1.0,1.0,2.0,1.0,1.0,8.0,1.0,1.0,2.0,4.0,1.0,1.0,4.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,7.0,1.0,2.0,100.0,2.0,0.0,22.0,236.88,28.8,10.0,0.0,0.0,5.4,1287.88,0.5,399.126,15.4
12710,50.0,3.0,1.0,2.0,4.0,7.0,1.0,1.0,1.0,4.0,1.0,8.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,7.0,1.0,2.0,100.0,2.0,0.0,27.0,236.88,50.0,15.0,0.0,0.0,30.0,2460.43,0.5,762.51,45.0
12713,50.0,3.0,1.0,2.0,4.0,7.0,1.0,1.0,2.0,1.0,1.0,8.0,1.0,1.0,2.0,4.0,1.0,1.0,4.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,7.0,1.0,2.0,100.0,2.0,0.0,37.0,236.88,35.0,11.0,0.0,0.0,4.5,879.61,1.0,272.599,15.5
12714,50.0,3.0,1.0,2.0,4.0,7.0,1.0,1.0,1.0,2.0,1.0,8.0,1.0,1.0,2.0,4.0,3.0,1.0,4.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,7.0,1.0,2.0,100.0,16.0,0.0,42.0,236.88,30.0,10.0,0.0,0.0,20.0,900.25,2.0,278.995,30.0
12717,50.0,3.0,1.0,2.0,4.0,7.0,1.0,1.0,2.0,1.0,1.0,8.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,7.0,1.0,2.0,100.0,2.0,0.0,47.0,236.88,9.0,5.0,0.0,0.0,5.0,1444.42,1.0,447.639,10.0
12721,50.0,3.0,1.0,2.0,4.0,7.0,1.0,1.0,1.0,3.0,1.0,8.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,7.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,7.0,1.0,2.0,100.0,2.0,0.0,57.0,236.88,21.0,13.0,0.0,0.0,10.0,1864.96,2.0,577.969,23.0
12724,50.0,3.0,1.0,2.0,4.0,7.0,2.0,1.0,3.0,2.0,1.0,8.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,7.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,7.0,1.0,2.0,100.0,2.0,0.0,62.0,236.88,20.0,15.0,0.0,0.0,15.0,1872.91,1.0,580.432,30.0
12726,50.0,3.0,1.0,2.0,4.0,7.0,1.0,1.0,2.0,1.0,1.0,8.0,1.0,1.0,2.0,3.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,7.0,1.0,2.0,100.0,2.0,0.0,74.0,236.88,25.0,25.0,0.0,0.0,25.0,1146.7,0.5,355.373,50.0
12727,50.0,3.0,1.0,2.0,4.0,7.0,1.0,1.0,1.0,2.0,1.0,8.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,7.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,7.0,1.0,2.0,100.0,2.0,0.0,79.0,236.88,14.0,5.0,0.0,0.0,10.0,907.91,0.25,281.37,15.0
12729,50.0,3.0,1.0,2.0,4.0,7.0,1.0,1.0,2.0,1.0,1.0,8.0,3.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,7.0,1.0,6.0,100.0,13.0,0.0,84.0,236.88,7.0,2.0,0.0,0.0,1.5,104.99,14.0,32.537,3.5
12731,50.0,3.0,1.0,2.0,4.0,7.0,1.0,1.0,1.0,2.0,1.0,8.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,7.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,7.0,1.0,2.0,100.0,2.0,0.0,89.0,236.88,22.0,15.0,0.0,0.0,10.0,453.54,0.25,140.557,25.0
12732,50.0,3.0,1.0,2.0,4.0,7.0,1.0,1.0,2.0,1.0,1.0,8.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,7.0,1.0,2.0,100.0,10.0,0.0,94.0,236.88,3.0,3.0,0.0,0.0,2.0,131.77,30.0,40.836,5.0
12733,50.0,3.0,1.0,2.0,4.0,7.0,1.0,1.0,1.0,2.0,1.0,8.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,7.0,1.0,2.0,100.0,2.0,0.0,99.0,236.88,30.0,10.0,0.0,0.0,8.0,362.08,0.5,112.212,18.0
12735,50.0,3.0,1.0,2.0,4.0,7.0,1.0,1.0,2.0,1.0,1.0,8.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,7.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,7.0,1.0,2.0,100.0,2.0,0.0,99.0,236.88,40.0,8.0,0.0,0.0,4.0,905.73,0.5,280.694,12.0
12737,50.0,3.0,1.0,2.0,4.0,7.0,2.0,1.0,1.0,2.0,1.0,8.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,7.0,1.0,2.0,100.0,16.0,0.0,105.0,236.88,25.0,25.5,0.0,0.0,20.6,521.84,1.0,161.724,46.1
12741,50.0,3.0,1.0,2.0,6.0,6.0,1.0,1.0,2.0,2.0,1.0,8.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,7.0,1.0,2.0,100.0,10.0,0.0,12.0,237.89,10.5,20.0,0.0,0.0,30.0,147.31,10.0,33.015,50.0
12748,50.0,3.0,1.0,2.0,6.0,6.0,1.0,1.0,3.0,1.0,1.0,8.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,2.0,0.0,30.0,237.89,5.0,0.0,0.0,0.0,0.0,509.53,1.0,114.194,0.0
12750,50.0,3.0,1.0,2.0,6.0,6.0,1.0,1.0,7.0,1.0,1.0,8.0,3.0,1.0,2.0,4.0,3.0,1.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,7.0,1.0,6.0,100.0,2.0,0.0,36.0,237.89,15.0,8.0,0.0,0.0,20.0,2282.64,1.0,511.574,28.0
12752,50.0,3.0,1.0,2.0,6.0,6.0,1.0,1.0,3.0,1.0,1.0,8.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,7.0,1.0,2.0,100.0,2.0,0.0,42.0,237.89,20.0,20.0,0.0,0.0,15.0,347.75,1.0,77.936,35.0
12754,50.0,3.0,1.0,2.0,6.0,6.0,1.0,1.0,1.0,2.0,1.0,8.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,10.0,0.0,48.0,237.89,2.0,0.0,0.0,0.0,0.0,210.88,25.0,47.262,0.0
12759,50.0,3.0,1.0,2.0,6.0,6.0,1.0,1.0,2.0,2.0,1.0,8.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,6.0,1.0,2.0,100.0,2.0,0.0,54.0,237.89,16.0,0.0,0.0,0.0,10.0,319.71,0.5,71.652,10.0
12762,50.0,3.0,1.0,2.0,6.0,6.0,1.0,1.0,1.0,3.0,1.0,8.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,100.0,2.0,0.0,66.0,237.89,5.0,12.5,0.0,0.0,0.0,291.63,0.5,65.359,12.5
12765,50.0,3.0,1.0,2.0,6.0,6.0,1.0,1.0,6.0,1.0,1.0,8.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,2.0,0.0,66.0,237.89,20.0,0.0,0.0,0.0,0.0,435.38,0.5,97.576,0.0
12767,50.0,3.0,1.0,2.0,6.0,6.0,2.0,1.0,2.0,1.0,1.0,8.0,3.0,1.0,2.0,4.0,3.0,1.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,6.0,100.0,2.0,0.0,72.0,237.89,15.0,0.0,0.0,0.0,0.0,590.41,0.25,132.319,0.0
12771,50.0,3.0,1.0,2.0,6.0,6.0,1.0,1.0,6.0,1.0,1.0,8.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,5.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,2.0,0.0,78.0,237.89,20.0,0.0,0.0,0.0,0.0,435.47,1.0,97.595,0.0
12774,50.0,3.0,1.0,2.0,6.0,6.0,1.0,1.0,2.0,1.0,1.0,8.0,3.0,1.0,2.0,4.0,3.0,1.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,7.0,1.0,6.0,100.0,2.0,0.0,84.0,237.89,12.0,7.0,0.0,0.0,15.0,1633.01,0.5,365.982,22.0
12775,50.0,3.0,1.0,2.0,6.0,6.0,1.0,1.0,4.0,1.0,1.0,8.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,7.0,1.0,2.0,100.0,2.0,0.0,84.0,237.89,5.0,8.0,0.0,0.0,15.0,829.57,0.5,185.919,23.0
12778,50.0,3.0,1.0,2.0,6.0,6.0,2.0,1.0,6.0,1.0,1.0,8.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,2.0,0.0,90.0,237.89,18.0,0.0,0.0,0.0,0.0,336.1,0.5,75.325,0.0
12779,50.0,3.0,1.0,2.0,6.0,6.0,1.0,1.0,2.0,1.0,1.0,8.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,10.0,0.0,96.0,237.89,16.0,0.0,0.0,0.0,0.0,403.22,25.0,90.367,0.0
12784,50.0,3.0,1.0,2.0,6.0,6.0,1.0,1.0,3.0,3.0,1.0,8.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,7.0,1.0,2.0,100.0,2.0,0.0,102.0,237.89,20.0,5.0,0.0,0.0,10.0,693.68,1.5,155.464,15.0
12786,50.0,3.0,1.0,2.0,6.0,6.0,1.0,1.0,2.0,1.0,1.0,8.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,10.0,0.0,108.0,237.89,20.0,12.5,0.0,0.0,0.0,197.59,20.0,44.284,12.5
12794,50.0,3.0,1.0,2.0,6.0,6.0,1.0,1.0,7.0,1.0,1.0,8.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,7.0,1.0,2.0,100.0,10.0,0.0,120.0,237.89,12.0,4.0,0.0,0.0,10.0,394.8,30.0,88.48,14.0
12817,50.0,3.0,1.0,2.0,9.0,9.0,1.0,1.0,4.0,1.0,1.0,8.0,1.0,1.0,2.0,3.0,1.0,1.0,8.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,2.0,0.0,14.0,331.89,4.375,1.5,0.0,5.0,0.0,331.04,0.5,85.784,6.5
12819,50.0,3.0,1.0,2.0,9.0,9.0,1.0,1.0,2.0,1.0,2.0,8.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,75.0,2.0,0.0,18.0,331.89,1.875,0.0,0.0,0.0,0.0,237.57,0.25,61.562,0.0
12821,50.0,3.0,1.0,2.0,9.0,9.0,1.0,1.0,3.0,2.0,1.0,8.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,7.0,100.0,2.0,0.0,22.0,331.89,1.875,5.0,0.0,5.0,0.0,324.63,0.25,84.122,10.0
12824,50.0,3.0,1.0,2.0,9.0,9.0,1.0,1.0,8.0,1.0,1.0,8.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,2.0,0.0,22.0,331.89,24.18323430068698,5.0,0.0,16.6,0.0,260.64,0.6,67.541,21.6
12826,50.0,3.0,1.0,2.0,9.0,9.0,2.0,1.0,1.0,5.0,1.0,8.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,2.0,0.0,26.0,331.89,6.25,3.25,0.0,15.0,0.0,481.21,1.0,124.697,18.25
12830,50.0,3.0,1.0,2.0,9.0,9.0,1.0,1.0,2.0,4.0,1.0,8.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,2.0,0.0,30.0,331.89,14.375,12.0,0.0,20.0,0.0,5337.6,3.0,1383.15,32.0
12838,50.0,3.0,1.0,2.0,9.0,9.0,1.0,1.0,5.0,2.0,1.0,8.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,2.0,0.0,34.0,331.89,1875.0,0.0,0.0,0.0,0.0,190.56,0.25,49.381,0.0
12845,50.0,3.0,1.0,2.0,9.0,9.0,1.0,1.0,2.0,2.0,1.0,8.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,2.0,0.0,42.0,331.89,1.875,1.0,0.0,2.0,0.0,324.96,0.6,84.208,3.0
12849,50.0,3.0,1.0,2.0,9.0,9.0,2.0,1.0,1.0,4.0,1.0,8.0,4.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,2.0,0.0,46.0,331.89,1.875,0.0,0.0,0.0,0.0,285.03,0.25,73.86,0.0
12858,50.0,3.0,1.0,2.0,9.0,9.0,1.0,1.0,2.0,4.0,1.0,8.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,4.0,1.0,2.0,100.0,2.0,0.0,50.0,331.89,6.25,0.0,0.0,5.0,0.0,219.49,0.5,56.878,5.0
12861,50.0,3.0,1.0,2.0,9.0,9.0,1.0,1.0,5.0,1.0,1.0,8.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,2.0,0.0,50.0,331.89,12.5,7.0,0.0,14.0,0.0,698.45,0.25,180.992,21.0
12868,50.0,3.0,1.0,2.0,9.0,9.0,1.0,1.0,1.0,9.0,1.0,8.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,2.0,0.0,55.0,331.89,5.0,0.0,0.0,0.0,0.0,389.27,0.75,100.873,0.0
12870,50.0,3.0,1.0,2.0,9.0,9.0,1.0,1.0,3.0,1.0,1.0,8.0,1.0,2.0,2.0,3.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,2.0,0.0,55.0,331.89,20.0,5.0,0.0,20.0,0.0,1148.34,1.0,297.572,25.0
12876,50.0,3.0,1.0,2.0,9.0,9.0,1.0,1.0,5.0,1.0,2.0,8.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,40.0,2.0,0.0,59.0,331.89,2.0,0.0,0.0,0.0,0.0,145.58,0.5,37.725,0.0
12877,50.0,3.0,1.0,2.0,9.0,9.0,1.0,1.0,7.0,1.0,1.0,8.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,2.0,0.0,59.0,331.89,6.0,5.0,0.0,10.0,0.0,94.46,0.25,24.478,15.0
12886,50.0,3.0,1.0,2.0,9.0,9.0,1.0,1.0,1.0,5.0,1.0,8.0,4.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,2.0,0.0,71.0,331.89,6.25,4.0,0.0,8.3,0.0,805.83,1.0,208.818,12.3
12888,50.0,3.0,1.0,2.0,9.0,9.0,1.0,1.0,1.0,2.0,1.0,8.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,2.0,0.0,75.0,331.89,7.5,0.0,0.0,0.0,0.0,1889.95,1.5,489.749,0.0
12889,50.0,3.0,1.0,2.0,9.0,9.0,1.0,1.0,1.0,2.0,1.0,8.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,2.0,0.0,79.0,331.89,8.0,0.0,0.0,0.0,0.0,109.07,0.5,28.263,0.0
12890,50.0,3.0,1.0,2.0,9.0,9.0,1.0,1.0,1.0,3.0,1.0,8.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,2.0,0.0,79.0,331.89,15.0,0.0,0.0,0.0,0.0,642.0,0.5,166.364,0.0
12951,50.0,3.0,1.0,2.0,18.0,6.0,1.0,1.0,1.0,4.0,1.0,8.0,3.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,2.0,0.0,10.0,249.83,35.0,20.0,0.0,40.0,0.0,1929.37,0.5,604.686,60.0
